SSID,Channel,Frequency,MAC,RSS,Timestamp
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-82,1046
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-81,6053
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-82,11055
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-81,16049
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-76,21045
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-81,26056
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-79,31030
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-72,36066
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-71,41211
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-70,46038
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-61,51065
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-64,56042
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-54,61042
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-54,66063
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-48,71060
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-58,76062
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-65,81061
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-70,86070
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-78,91063
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-76,96073
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-76,101044
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-90,106066
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-90,111044
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-86,116048
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-85,121051
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-95,126044
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-84,131046
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-86,134231
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-91,136067
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-86,141066
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-86,146008
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-86,151053
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-96,156064
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-96,161033
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-96,166044
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-96,171044
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-98,286059
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-98,291058
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-98,296097
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-99,301075
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-92,306070
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-92,311097
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-91,316100
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-88,321093
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-82,326070
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-79,331093
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-82,336100
CiscoLinksysE1200,6,2437,c8:b3:73:1f:b4:b6,-85,341102
